13'0-1！！！                   13'拜仁第13分钟取得领先
13'莱万！！                   13'拜仁第13分钟取得领先
13'拜仁首先取得进球啊                   13'拜仁第13分钟取得领先
13'这对阿贾克斯不是很有利啊                   13'拜仁第13分钟取得领先
14'拜仁前场右路送直塞给到禁区，莱万停球后形成单刀，面对门将打近角破门！！                   13'拜仁第13分钟取得领先
14'上半场还不到15分钟，拜仁首先取得进球                   13'拜仁第13分钟取得领先
14'看看阿贾克斯接下来怎么调整                   13'拜仁第13分钟取得领先
14'还是拿到小组第二就可以了                   13'拜仁第13分钟取得领先
14'阿贾克斯中场拿球被围抢                   13'拜仁第13分钟取得领先
15'拜仁中路将球摘出来                   13'拜仁第13分钟取得领先
15'阿贾克斯危险啊                   13'拜仁第13分钟取得领先
15'好在沃布尔先将球破坏                   13'拜仁第13分钟取得领先
27'拜仁右路进攻上来                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
27'底线横敲到门前                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
28'莱万推射被奥纳纳用腿挡了出去                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
28'拜仁再补空门                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
28'打高了啊                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
28'奥纳纳做出了一次非常关键的扑救                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
28'阿贾克斯的后防各种不放心啊                   27'莱万第27分钟错过必进机会，穆勒中路长驱直入分球，格纳布里禁区右侧传中，莱万在门前9米处推射被奥纳纳扑出
